Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AD3632,Won,2024-10-25,2024-10-03,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AD3632,Won,2025-10-25,2025-10-10,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,6.0,2025.0,1
AD3672,Won,2025-01-12,2024-12-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AD3672,Won,2026-01-12,2025-12-16,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Renewed,Yes,2.0,2025.0,1
AD3759,Churned,2024-01-30,,,,,,,,,,,,,,,,0
AD3759,Won,2023-01-30,,,,,,,,,,,,,,,,0
AD3871,Won,2026-01-15,,,,,,,,,,,,,,,,0
AD3976,Won,2025-06-24,2025-05-28,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD4119,Churned,2025-05-23,,,,,,,,,,,,,,,,0
AD4863,Won,2024-10-09,2024-09-24,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2024.0,1
AD4885,Churned,2024-08-29,,,,,,,,,,,,,,,,0
AD4885,Won,2023-08-29,,,,,,,,,,,,,,,,0
AD5124,Churned,2025-11-09,2025-10-13,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,3.0,2025.0,1
AD5239,Won,2025-10-28,,,,,,,,,,,,,,,,0
AD5239,Won,2024-10-28,,,,,,,,,,,,,,,,0
AD5239,Won,2023-10-28,,,,,,,,,,,,,,,,0
AD5655,Won,2025-05-22,,,,,,,,,,,,,,,,0
AD5655,Won,2024-05-22,,,,,,,,,,,,,,,,0
AD6195,Won,2025-05-08,,,,,,,,,,,,,,,,0
AD6195,Won,2024-05-08,,,,,,,,,,,,,,,,0
AD6195,Won,2023-05-08,,,,,,,,,,,,,,,,0
AD6912,Churned,2024-10-08,,,,,,,,,,,,,,,,0
AD6912,Won,2023-10-08,,,,,,,,,,,,,,,,0
AD7043,Churned,2024-01-13,,,,,,,,,,,,,,,,0
AD7151,Won,2025-06-23,2025-05-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AD7382,Won,2025-03-24,2025-02-27,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AD7727,Won,2025-06-04,2025-05-12,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Desired to Cancel,No,8.0,2025.0,1
AD8539,Churned,2026-02-06,2026-01-12,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Desired to Cancel,No,1.0,2026.0,1
AD8935,Won,2025-07-25,,,,,,,,,,,,,,,,0
AD8935,Won,2024-07-25,,,,,,,,,,,,,,,,0
AD8939,Won,2025-01-06,2024-12-10,No,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,1.0,2024.0,1
AD9098,Won,2025-11-07,2025-10-14,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AD9302,Churned,2023-04-11,,,,,,,,,,,,,,,,0
AD9391,Churned,2025-05-25,,,,,,,,,,,,,,,,0
AD9391,Won,2024-05-25,,,,,,,,,,,,,,,,0
AD9391,Won,2023-05-25,,,,,,,,,,,,,,,,0
AD9511,Churned,2023-06-29,,,,,,,,,,,,,,,,0
AD9541,Won,2025-04-18,,,,,,,,,,,,,,,,0
AD9541,Won,2024-04-18,,,,,,,,,,,,,,,,0
AD9541,Won,2023-04-18,,,,,,,,,,,,,,,,0
AD9995,Won,2025-03-28,2025-03-05,No,unknown,unknown,Yes,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE0118,Won,2024-09-19,2024-08-23,Yes,No,Yes,No,No,No,No,No,No,No,Desired to Cancel,No,8.0,2024.0,1
AE0118,Churned,2025-09-19,2025-09-05,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,13.0,2025.0,1
AE0497,Won,2025-10-30,2025-09-24,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE0736,Churned,2023-08-08,,,,,,,,,,,,,,,,0
AE0880,Churned,2024-01-31,,,,,,,,,,,,,,,,0
AE0880,Won,2023-01-31,,,,,,,,,,,,,,,,0
AE0975,Won,2025-12-03,2025-11-06,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE1151,Churned,2023-03-01,,,,,,,,,,,,,,,,0
AE1618,Won,2025-02-07,2025-01-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AE2046,Churned,2023-04-07,,,,,,,,,,,,,,,,0
AE2296,Won,2025-06-08,,,,,,,,,,,,,,,,0
AE2296,Won,2024-06-08,,,,,,,,,,,,,,,,0
AE2296,Won,2023-06-08,,,,,,,,,,,,,,,,0
AE2724,Won,2025-04-15,2025-03-20,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
